"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"3","E03-01","1","0","4","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f2.png","动作：货仓侧门被巡场人员发现开启后，高嵩接到通知快步赶来，一把按住刚从消防柜取出的发霉值班日志。；高嵩：“旧纸受潮，碰坏了没人负责。”（温和，手没有松开）","可保留精确尾帧，无需裁切"
"3","E03-01","2","4","8","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f3.png","动作：许知遥把值班日志从他手下抽走，并与程野带来的事故记录并排。；许知遥：“一点二十仍值班，一点四十七仍报警。”（冷静核对两条时间）","可保留精确尾帧，无需裁切"
"3","E03-01","3","8","12","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-01\f3.png","","动作：程野的手指在值班日志与事故记录的时间栏之间移动。；程野：“可事故记录写他一点二十已经开船。”（简短，指出记录冲突）","按设计时长输出"
"3","E03-02","1","12","16","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f2.png","动作：高嵩整理被碰皱的袖口。；高嵩：“十五年前的纸，能说明什么？”（保持笑意）","可保留精确尾帧，无需裁切"
"3","E03-02","2","16","20","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f3.png","动作：许知遥把电台放到日志旁。；许知遥：“能说明你急着清掉这里。”（观察他的反应）","可保留精确尾帧，无需裁切"
"3","E03-02","3","20","23.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-02\f3.png","","高嵩：“我是在替你父亲留体面。”（替她定义利害）","在动作完成点尾裁到 3.5s"
"3","E03-03","1","23.5","27.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f2.png","动作：他把责任书推到许知遥面前。；高嵩：“签名是他的，责任也是他的。”（音量不高，句句压人）","可保留精确尾帧，无需裁切"
"3","E03-03","2","27.5","31.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f3.png","动作：许知遥拿起责任书。；许知遥：“一点四十七，他不在船上。”（逐字核对）","可保留精确尾帧，无需裁切"
"3","E03-03","3","31.5","35.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-03\f3.png","","高嵩：“录音修出来什么，全凭你说。”（轻描淡写）","按设计时长输出"
"3","E03-04","1","35.5","39.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E03-04\f2.png","动作：程野挡在电台前。；程野：“报警器不会替她撒谎。”（低沉）","可保留精确尾帧，无需裁切"
