"集","段","开始秒","结束秒","场景","环境声/拟音中文建议","音乐中文建议","状态"
"1","E01-01","0","10.5","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：动作：许知遥刚从拆迁清点处领回父亲封存多年的旧物箱，抱着铁皮箱快步冲进候船厅，箱里反复漏出少年喘息。；动作：她回身推紧候船厅的旧门。；动作：拆迁通知在售票窗上被风吹起。；许知遥：“连他的东西也等不到明天。”（低声，压着不满）","以克制的悬疑氛围为主，保持对白清晰；在 E01-01 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"1","E01-02","10.5","21","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：动作：许知遥把铁皮箱放到长椅上。；动作：她掀开箱盖。；动作：烧损的橙色电台躺在黄铜船钥匙旁。；许知遥：“爸，你就留下这些？”（冷淡中带失望）","以克制的悬疑氛围为主，保持对白清晰；在 E01-02 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"1","E01-03","21","31.5","南堤旧渡口候船厅与栈桥","按画面动作同步拟音：动作：她拿起电台检查烧融的外壳。；动作：电台扬声器又挤出一声短促喘息。；许知遥：“这不是电流声。”（立刻警觉）；动作：许知遥把黄铜钥匙装进口袋。；动作：她抱起电台走出候船厅。","以克制的悬疑氛围为主，保持对白清晰；在 E01-03 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"1","E01-04","31.5","41.5","许知遥临时声音修复室","按画面动作同步拟音：动作：当晚直到次日凌晨，许知遥回到临时修复室，把电台放在灰绿修复台中央。；动作：她用软刷清掉电池仓里的盐霜。；动作：她接上实验电源。；动作：两层屏幕同时跳出密集波形。；许知遥：“先保原始轨，再做副本。”（专业，语速稳定）","以克制的悬疑氛围为主，保持对白清晰；在 E01-04 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"1","E01-05","41.5","51.5","许知遥临时声音修复室","按画面动作同步拟音：动作：她戴上耳机。；动作：连续爆音盖住整条音轨。；动作：许知遥拖动第一段降噪参数。；许知遥：“潮声太满，人声在下面。”（专注，自言自语）","以克制的悬疑氛围为主，保持对白清晰；在 E01-05 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"1","E01-06","51.5","62","许知遥临时声音修复室","按画面动作同步拟音：动作：她把右声道单独放大。；动作：一个模糊男声从噪声里露出半句。；许潮：“开船的……”（录音，急促喘息）；动作：许知遥猛地按下暂停。；许知遥：“这个声音……”（失神，尾音发紧）","以克制的悬疑氛围为主，保持对白清晰；在 E01-06 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"1","E01-07","62","73","许知遥临时声音修复室","按画面动作同步拟音：动作：她从抽屉里取出一张兄妹旧照。；动作：许知遥把旧照立在屏幕边。；许知遥：“哥，是你吗？”（极轻，第一次失去克制）；动作：她重新播放那段残缺录音。；许潮：“开船的不是爸。”（录音，气息短促）","以克制的悬疑氛围为主，保持对白清晰；在 E01-07 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"1","E01-08","73","83","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥攥紧耳机线。；许知遥：“再说一遍。”（压住颤抖）；动作：她提高人声频段。；动作：波形里的最后两个音节变得清楚。；许潮：“是高嵩。”（录音，清楚而急迫）","以克制的悬疑氛围为主，保持对白清晰；在 E01-08 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"1","E01-09","83","93.5","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥摘下耳机站起来。；许知遥：“责任书上写的是爸。”（冷静被愤怒顶开）；动作：她把责任书压到电台旁。；许知遥：“你们谁在撒谎？”（盯着父亲签名）","以克制的悬疑氛围为主，保持对白清晰；在 E01-09 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
"1","E01-10","93.5","104.5","许知遥临时声音修复室","按画面动作同步拟音：动作：许知遥保存刚刚修出的三段音频副本。；动作：她继续向后拖动未修复的音轨。；动作：电台突然爆出规律蜂鸣。；动作：黄铜钥匙随震动滑到未修复的波形屏下。","以克制的悬疑氛围为主，保持对白清晰；在 E01-10 结尾根据下一段转折做弱收束或悬停。","待配音剪辑阶段确认"
