"全片镜号","集","段","镜","全片开始秒","集内开始秒","集内结束秒","段内开始秒","设计时长","H3兜底生成秒","景别","运镜","人物","道具","中文内容","首帧","可选尾帧","目标视频文件","字幕/对白","声音","后期叠加","剪辑备注"
"1","1","E01-01","1","0","0","3.5","0","3.5","4","中景","跟拍","许知遥","无核心道具","动作：许知遥刚从拆迁清点处领回父亲封存多年的旧物箱，抱着铁皮箱快步冲进候船厅，箱里反复漏出少年喘息。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f2.png","generated-videos/E01-01/E01-01-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-01/镜1","参见 offline-production/sound-music-cues.csv：E01-01","无","可用首尾帧约束；按设计时长回切"
"2","1","E01-01","2","3.5","3.5","7","3.5","3.5","4","全景","固定","许知遥","无核心道具","动作：她回身推紧候船厅的旧门。；动作：拆迁通知在售票窗上被风吹起。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f3.png","generated-videos/E01-01/E01-01-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-01/镜2","参见 offline-production/sound-music-cues.csv：E01-01","无","可用首尾帧约束；按设计时长回切"
"3","1","E01-01","3","7","7","10.5","7","3.5","4","特写","推镜","许知遥","无核心道具","许知遥：“连他的东西也等不到明天。”（低声，压着不满）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f3.png","","generated-videos/E01-01/E01-01-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-01/镜3","参见 offline-production/sound-music-cues.csv：E01-01","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"4","1","E01-02","1","10.5","10.5","14","0","3.5","4","中景","固定","许知遥","无核心道具","动作：许知遥把铁皮箱放到长椅上。；动作：她掀开箱盖。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f2.png","generated-videos/E01-02/E01-02-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-02/镜1","参见 offline-production/sound-music-cues.csv：E01-02","无","可用首尾帧约束；按设计时长回切"
"5","1","E01-02","2","14","14","17.5","3.5","3.5","4","大特写","推镜","无实体人物","橙色应急电台、黄铜船钥匙","动作：烧损的橙色电台躺在黄铜船钥匙旁。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f3.png","generated-videos/E01-02/E01-02-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-02/镜2","参见 offline-production/sound-music-cues.csv：E01-02","无","可用首尾帧约束；按设计时长回切"
"6","1","E01-02","3","17.5","17.5","21","7","3.5","4","特写","固定","许知遥","橙色应急电台、黄铜船钥匙","许知遥：“爸，你就留下这些？”（冷淡中带失望）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f3.png","","generated-videos/E01-02/E01-02-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-02/镜3","参见 offline-production/sound-music-cues.csv：E01-02","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"7","1","E01-03","1","21","21","24.5","0","3.5","4","特写","推镜","许知遥","橙色应急电台","动作：她拿起电台检查烧融的外壳。；动作：电台扬声器又挤出一声短促喘息。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f2.png","generated-videos/E01-03/E01-03-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-03/镜1","参见 offline-production/sound-music-cues.csv：E01-03","无","可用首尾帧约束；按设计时长回切"
"8","1","E01-03","2","24.5","24.5","27.5","3.5","3","3","特写","固定","许知遥","橙色应急电台","许知遥：“这不是电流声。”（立刻警觉）","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f3.png","generated-videos/E01-03/E01-03-f2-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-03/镜2","参见 offline-production/sound-music-cues.csv：E01-03","无","可用首尾帧约束；按设计时长回切"
"9","1","E01-03","3","27.5","27.5","31.5","6.5","4","4","中景","跟拍","许知遥","橙色应急电台、黄铜船钥匙","动作：许知遥把黄铜钥匙装进口袋。；动作：她抱起电台走出候船厅。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f3.png","","generated-videos/E01-03/E01-03-f3-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-03/镜3","参见 offline-production/sound-music-cues.csv：E01-03","无","尾镜按设计时长输出；动作完成点允许小幅尾裁"
"10","1","E01-04","1","31.5","31.5","35","0","3.5","4","中景","固定","许知遥","橙色应急电台","动作：当晚直到次日凌晨，许知遥回到临时修复室，把电台放在灰绿修复台中央。；动作：她用软刷清掉电池仓里的盐霜。","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f2.png","generated-videos/E01-04/E01-04-f1-v01.mp4","参见 offline-production/dialogue-cues.csv：E01-04/镜1","参见 offline-production/sound-music-cues.csv：E01-04","无","可用首尾帧约束；按设计时长回切"
