"集","段","镜","集内开始秒","集内结束秒","角色","表演提示","台词","状态"
"1","E01-01","3","7.2","10.3","许知遥","低声，压着不满","连他的东西也等不到明天。","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-02","3","17.7","20.8","许知遥","冷淡中带失望","爸，你就留下这些？","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-03","2","24.7","27.3","许知遥","立刻警觉","这不是电流声。","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-04","3","38.7","41.3","许知遥","专业，语速稳定","先保原始轨，再做副本。","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-05","3","48.7","51.3","许知遥","专注，自言自语","潮声太满，人声在下面。","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-06","2","54.7","56.8","许潮","录音，急促喘息","开船的……","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-06","4","59.7","61.8","许知遥","失神，尾音发紧","这个声音……","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-07","2","65.7","67.8","许知遥","极轻，第一次失去克制","哥，是你吗？","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-07","4","70.7","72.8","许潮","录音，气息短促","开船的不是爸。","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-08","2","75.7","77.3","许知遥","压住颤抖","再说一遍。","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-08","4","81.2","82.8","许潮","录音，清楚而急迫","是高嵩。","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-09","2","86.2","88.8","许知遥","冷静被愤怒顶开","责任书上写的是爸。","时间为分镜自动草稿，待真人/模型配音后回校"
"1","E01-09","4","91.2","93.3","许知遥","盯着父亲签名","你们谁在撒谎？","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-01","2","3.2","5.8","程野","低沉，直接进入正题","官方写一点二十分离岸。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-01","3","6.2","10.3","许知遥","逐字核对","这段报时在一点四十七。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-02","1","13.2","15.8","许潮","录音，远而破碎","七月十九，一点四十七。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-02","3","20.2","22.3","程野","确认，语气发沉","这是货仓防潮报警器。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-03","1","22.7","24.3","许知遥","迅速追问","不是船上的？","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-03","2","24.7","28.3","程野","笃定","每三十秒一次，我从小听到大。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-03","3","28.7","32.3","许知遥","压住激动","哥哥那时还在岸上。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-03","4","32.7","35.3","程野","简短，回避她的目光","至少有一份记录是假的。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-04","1","35.7","38.8","许知遥","冷下来","你还知道什么？","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-04","3","41.7","45.3","程野","停顿后承认","事故第二天，我捡到过半块船牌。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-05","1","45.7","47.3","许知遥","立刻追问","船牌呢？","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-05","2","47.7","50.8","程野","负疚，句尾收短","被我扔回水里了。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-05","3","51.2","53.8","许知遥","声音发硬","谁让你扔的？","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-05","4","54.2","55.8","程野","很轻","许叔。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-05","5","56.2","59.3","许知遥","果断","去货仓。现在。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-06","3","66.2","67.8","许知遥","迅速判断","锁是后来换的。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-07","3","77.7","79.3","程野","确认","就是这个声音。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-08","3","85.7","87.3","许知遥","意外","它开的是这里。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-09","1","90.7","94.3","许知遥","读出记录","一点二十分，许德海当班。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-09","2","94.7","98.8","程野","盯住两条时间","可一点四十七，报警器还在录音里。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-09","3","99.2","102.8","许知遥","愤怒渐起","哥哥在这儿，爸却被写在船上。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-10","1","103.2","106.8","程野","终于直面记忆","许叔那天不是怕我找到船。","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-10","2","107.2","108.8","许知遥","逼问","那他怕什么？","时间为分镜自动草稿，待真人/模型配音后回校"
"2","E02-10","3","109.2","113.3","程野","低声，留下疑点","他当时盯着这里，只说谁都不要再找。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-01","1","0.2","3.8","高嵩","温和，手没有松开","旧纸受潮，碰坏了没人负责。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-01","2","4.2","7.8","许知遥","冷静核对两条时间","一点二十仍值班，一点四十七仍报警。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-01","3","8.2","11.8","程野","简短，指出记录冲突","可事故记录写他一点二十已经开船。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-02","1","12.2","15.8","高嵩","保持笑意","十五年前的纸，能说明什么？","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-02","2","16.2","19.8","许知遥","观察他的反应","能说明你急着清掉这里。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-02","3","20.2","23.3","高嵩","替她定义利害","我是在替你父亲留体面。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-03","1","23.7","27.3","高嵩","音量不高，句句压人","签名是他的，责任也是他的。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-03","2","27.7","31.3","许知遥","逐字核对","一点四十七，他不在船上。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-03","3","31.7","35.3","高嵩","轻描淡写","录音修出来什么，全凭你说。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-04","1","35.7","39.3","程野","低沉","报警器不会替她撒谎。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-04","3","43.2","45.3","高嵩","平静施压","我给你们十分钟。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-04","3","45.7","47.8","高嵩","像谈交易","遗物交给我，旧事到此为止。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-05","2","51.7","54.8","程野","压低声音","他怕的不是电台，是这个。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-06","1","55.2","58.3","许知遥","恢复专业冷静","先留副本。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-06","3","62.2","64.8","程野","低声确认","这不像普通磨损。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-07","2","68.7","71.3","许知遥","盯住波形","蜂鸣之后还有人声。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-07","4","75.2","77.8","许潮","录音，压低声音","爸被他们按在货仓里。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-08","1","78.2","81.3","许知遥","确认事实，气息发紧","他在货仓。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-08","2","81.7","84.3","程野","立刻接上证据链","所以他不可能开船。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-08","3","84.7","87.8","许德海","录音远声，粗哑用力","不能开船！","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-08","4","88.2","91.3","许潮","录音，急促喘息","爸咬着正钥匙，抱着栏杆。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-09","1","91.7","94.8","许知遥","克制而确定","他签字，不等于他开船。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-09","2","95.2","98.3","高嵩","录音远声，命令","拿备用钥匙！","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-09","3","98.7","101.8","许潮","录音，恐惧却清楚","船开了。爸还在这里。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-09","4","102.2","105.3","许知遥","结论落定","开船的是高嵩。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-10","1","105.7","108.8","程野","指向清单","六桶溶剂，私章也在。","时间为分镜自动草稿，待真人/模型配音后回校"
"3","E03-10","2","109.2","112.3","许知遥","不被胜利冲昏","还差事故船上的原始联单。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-01","1","0.2","4.8","高嵩","语气从容，像在谈一笔普通生意","跑这么急，是怕我先找到那张清单？","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-01","2","5.2","8.3","许知遥","站定，声音冷静","我怕的是你把货仓推平。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-02","1","12.7","17.3","高嵩","音量不高，句句留出逼人答应的停顿","城里一套房，换电台和清单。今晚就签。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-02","2","17.7","22.3","许知遥","盯着他，不接资料","你买得这么急，说明六桶不是笔误。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-02","3","22.7","26.3","高嵩","笑意不变","多出来的溶剂，我没否认。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-03","1","26.7","29.8","许知遥","追问得很快","那晚是谁开的船？","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-03","2","30.2","33.3","高嵩","轻描淡写","雷打下来，谁开都一样。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-03","3","33.7","36.8","许知遥","压住怒意","我爸被锁在这儿。","时间为分镜自动草稿，待真人/模型配音后回校"
"4","E04-04","1","37.2","41.8","高嵩","替死者下结论","他后来签了字，因为他知道许潮上了船。","时间为分镜自动草稿，待真人/模型配音后回校"
