"序号","接点","上一段","下一段","转场类型","风险","状态","上一段终态","下一段起态","问题","衔接契约","修复目标"
"1","E01-01→E01-02","E01-01","E01-02","同场连续或反打","中","待链路验证","许知遥：“连他的东西也等不到明天。”（低声，压着不满）","许知遥把铁皮箱放到长椅上。；她掀开箱盖。","文本要求关门，但门的开合初态不明确，已生成视频被模型解释成奔向门准备开门；下一段却直接回到长椅开箱。","重做 E01-01：明确门原本打开、关门完成、人物转身离开门口并朝长椅方向运动；用最终离门状态连接 E01-02。","E01-01"
"2","E01-02→E01-03","E01-02","E01-03","同场连续或反打","低","可按现有切点","许知遥：“爸，你就留下这些？”（冷淡中带失望）","她拿起电台检查烧融的外壳。；电台扬声器又挤出一声短促喘息。","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"3","E01-03→E01-04","E01-03","E01-04","动机转场","中","待链路验证","许知遥把黄铜钥匙装进口袋。；她抱起电台走出候船厅。","当晚直到次日凌晨，许知遥回到临时修复室，把电台放在灰绿修复台中央。；她用软刷清掉电池仓里的盐霜。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","上一段必须完成离场动机，下一段以新场景建立镜或明确到达动作开始。","无"
"4","E01-04→E01-05","E01-04","E01-05","同场连续或反打","低","可按现有切点","许知遥：“先保原始轨，再做副本。”（专业，语速稳定）","她戴上耳机。；连续爆音盖住整条音轨。","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"5","E01-05→E01-06","E01-05","E01-06","同场连续或反打","低","可按现有切点","许知遥：“潮声太满，人声在下面。”（专注，自言自语）","她把右声道单独放大。；一个模糊男声从噪声里露出半句。","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"6","E01-06→E01-07","E01-06","E01-07","同场连续或反打","中","待链路验证","许知遥：“这个声音……”（失神，尾音发紧）","她从抽屉里取出一张兄妹旧照。；许知遥把旧照立在屏幕边。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"7","E01-07→E01-08","E01-07","E01-08","同场连续或反打","低","可按现有切点","许潮：“开船的不是爸。”（录音，气息短促）","许知遥攥紧耳机线。","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"8","E01-08→E01-09","E01-08","E01-09","同场连续或反打","低","可按现有切点","许潮：“是高嵩。”（录音，清楚而急迫）","许知遥摘下耳机站起来。","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"9","E01-09→E01-10","E01-09","E01-10","同场连续或反打","中","待链路验证","许知遥：“你们谁在撒谎？”（盯着父亲签名）","许知遥保存刚刚修出的三段音频副本。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"10","E01-10→E02-01","E01-10","E02-01","章回/时空跳转","中","待链路验证","黄铜钥匙随震动滑到未修复的波形屏下。","程野收到许知遥连夜发来的报时片段和时间疑点后，带着事故记录快步推门进来，把记录压到滚动的报时波形旁。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","必须用建立镜、环境变化或声音桥明确新时间/地点，不得伪装成同一秒连续动作。","无"
"11","E02-01→E02-02","E02-01","E02-02","同场连续或反打","低","可按现有切点","她按下播放。","许潮：“七月十九，一点四十七。”（录音，远而破碎）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"12","E02-02→E02-03","E02-02","E02-03","同场连续或反打","低","可按现有切点","程野：“这是货仓防潮报警器。”（确认，语气发沉）","许知遥：“不是船上的？”（迅速追问）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"13","E02-03→E02-04","E02-03","E02-04","同场连续或反打","低","可按现有切点","程野：“至少有一份记录是假的。”（简短，回避她的目光）","许知遥注意到他的回避。；许知遥：“你还知道什么？”（冷下来）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"14","E02-04→E02-05","E02-04","E02-05","同场连续或反打","低","可按现有切点","程野：“事故第二天，我捡到过半块船牌。”（停顿后承认）","许知遥：“船牌呢？”（立刻追问）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"15","E02-05→E02-06","E02-05","E02-06","动机转场","中","待链路验证","许知遥抓起黄铜钥匙。；许知遥：“去货仓。现在。”（果断）","许知遥快步走到货仓钢门前。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","上一段必须完成离场动机，下一段以新场景建立镜或明确到达动作开始。","无"
"16","E02-06→E02-07","E02-06","E02-07","同场连续或反打","中","待链路验证","程野推开虚掩的侧门。","两人进入昏暗货仓。","推开侧门与进入货仓是同一连续动作，两段独立生成容易改变门的开度、人物前后次序和运动方向。","两段共享同一扇半开侧门和同一人物站位；E02-06 终帧作为 E02-07 的连续性参考，锁定程野先推门、许知遥随后进入。","E02-06/E02-07"
"17","E02-07→E02-08","E02-07","E02-08","同场连续或反打","中","待链路验证","程野：“就是这个声音。”（确认）","许知遥走到嵌墙消防柜前。","静态关键帧没有直接矛盾，但必须用相邻视频连播确认动作、轴线或时空跳转。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
"18","E02-08→E02-09","E02-08","E02-09","同场连续或反打","低","可按现有切点","程野取出发霉的值班日志。","许知遥翻到七月十九日。；许知遥：“一点二十分，许德海当班。”（读出记录）","关键帧与剧情动作未发现明显状态逆转；仍须执行常规相邻段连播 QC。","保持人物、道具、视线、运动方向和物体开合状态；生成后连播上一段尾 2 秒与下一段首 2 秒。","无"
